route_id,service_id,trip_id,direction_id,block_id,shape_id
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_2","#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_2","0","LinkFM","7AM to 10AM_Jul 13 2017  8:18:01:883AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_3","#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_3","0","LinkFM","7AM to 10AM_Jul 13 2017  8:18:01:883AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_4","#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_4","0","LinkFM","7AM to 10AM_Jul 13 2017  8:18:01:883AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_5","#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_5","0","LinkFM","7AM to 10AM_Jul 13 2017  8:18:01:883AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_6","#0_2015-07-14T09:11:19_20170819_99991231_20170714_99991231_6","0","LinkFM","7AM to 10AM_Jul 13 2017  8:18:01:883AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_2","#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_2","0","LinkFM","10AM to 7PM_Jul 13 2017  8:17:41:740AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_3","#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_3","0","LinkFM","10AM to 7PM_Jul 13 2017  8:17:41:740AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_4","#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_4","0","LinkFM","10AM to 7PM_Jul 13 2017  8:17:41:740AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_5","#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_5","0","LinkFM","10AM to 7PM_Jul 13 2017  8:17:41:740AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_6","#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_6","0","LinkFM","10AM to 7PM_Jul 13 2017  8:17:41:740AM"
"0 - LinkFM","0 - LinkFM_#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_7","#0_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_7","0","LinkFM","10AM to 7PM_Jul 13 2017  8:17:41:740AM"
"0 - LinkFM","0 - LinkFM_#0_2015-09-03T10:28:33_20170819_99991231_20170714_99991231_2","#0_2015-09-03T10:28:33_20170819_99991231_20170714_99991231_2","0","LinkFM","7AM to 10AM_Jul 13 2017  8:18:01:883AM"
